"name","id","damage","damage_high","absorb","absorb_high","durability","durability_max","str_mod","agl_mod","pow_mod","int_mod","def_mod","hp_mod","wear_slot","image","description","action","charges","charges_max","useable","unique","sell_value","required_level","quest"
"Rambo Knife","74","22","29","0","0","0","0","4","0","0","0","0","0","item_weapon1","item_knife.gif","Grrrrrrrrrrrrrrr!","0","1","1","0","0","1.35","8","no"
"Back Scratcher","75","8","12","0","0","0","0","0","0","0","0","0","0","item_weapon1","item_robotarm.gif","Great for killing pests... Or scratching your back","0","1","1","0","0",".34","3","no"
"TP","76","25","32","0","0","0","0","0","0","0","0","0","0","item_weapon1","item_toiletpaper.gif","Wipe your enemies off the ground","0","1","1","0","0","1.45","9","no"
"Banana Bomb","77","29","35","0","0","0","0","5","0","0","0","0","0","item_weapon1","item_bannana.gif","Kaboom","0","1","1","0","0","1.58","10","no"
"Sniper Rifle","78","24","28","0","0","0","0","4","0","0","0","0","0","item_weapon1","item_sniperrifle.gif","Take a deep breath then exhale... Now shoot","0","1","1","0","0","1.45","9","no"
"Smoke Grenade","79","24","30","0","0","0","0","0","0","0","0","0","0","item_weapon1","item_smokegrenade.gif","Blind your enemies","0","1","1","0","0","1.42","8","no"
"Oversized Green Jeans","80","0","0","0","0","0","0","0","0","0","0","24","0","item_legs","item_biggreenjeans.gif","They fit!","0","1","1","0","0",".82","8","no"
"Buttsnugglers","81","0","0","0","0","0","0","0","-3","4","0","28","0","item_legs","item_legs.gif","These things fit like a dream. If your dream is to have really tight pants.","0","1","1","0","0",".94","10","no"
"Foreign Army Device","82","32","36","0","0","0","0","6","6","0","0","0","0","item_weapon1","item_sak.gif","FAD... There is something in there for every occasion","0","1","1","0","0","1.63","10","no"
"Orb of Destruction","83","6","11","0","0","0","0","0","0","0","2","0","0","item_weapon1","item_orb2.gif","Evil looking orb... It hurts","0","1","1","0","0",".38","3","no"
"Base Shield Installer","84","0","0","0","0","0","0","0","0","0","0","0","0",,"item_orb.gif","Installs a shield (class 1) at your base. Requires base tower foundation","28","1","1","1","0","45","1","no"
"Base Tower Foundation","85","0","0","0","0","0","0","0","0","0","0","0","0",,"item_tower_foundation.gif","Use this to add a tower to your base. You can have up to 4 towers.","29","1","1","1","0","250","1","no"
"Base Tower Gun Housing Assembly","86","0","0","0","0","0","0","0","0","0","0","0","0",,"item_tower_guns_1.gif","Add guns (class 1) to one of your base towers. Requires base tower foundation","30","1","1","0","0","350","1","no"
"Leather Boots","87","0","0","0","0","0","0","0","0","0","0","2","0","item_feet","item_boots_1.gif","Leather boots","0","1","1","0","0",".15","2","no"
"Scuba Feet","88","0","0","0","0","0","0","0","0","0","0","4","0","item_feet","item_boots_8.gif","All you need now is a snorkle","0","1","1","0","0",".35","3","no"
"Steel Toed Boots","89","0","0","0","0","0","0","0","0","0","0","6","0","item_feet","item_boots_2.gif","You need to break these in before they become comfortable","0","1","1","0","0",".45","4","no"
"Sneakers","90","0","0","0","0","0","0","0","2","0","0","8","0","item_feet","item_boots_10.gif","Plain ol sneakers","0","1","1","0","0",".65","6","no"
"Dark Slippers","91","0","0","0","0","0","0","0","0","0","0","7","0","item_feet","item_boots_9.gif","Dark as the night...","0","1","1","0","0",".53","5","no"
"Snow Boots","92","0","0","0","0","0","0","0","0","0","0","10","0","item_feet","item_boots_4.gif","These boots are warm","0","1","1","0","0",".76","7","no"
"Purple High Heels","93","0","0","0","0","0","0","0","-2","0","0","12","0","item_feet","item_boots_6.gif","For the sophisticated hero","0","1","1","0","0",".82","8","no"
"Red Sneakers","94","0","0","0","0","0","0","0","0","0","0","13","0","item_feet","item_boots_5.gif","Great for playing basketball... Or covering up feet for battle","0","1","1","0","0",".95","9","no"
"Viking Boots","95","0","0","0","0","0","0","5","0","0","0","15","0","item_feet","item_boots_3.gif","Not quite as good as pirate boots","0","1","1","0","0","1.03","10","no"
"Rock T-Shirt","96","0","0","0","0","0","0","0","0","0","0","7","0","item_chest","item_shirt_4.gif","Someone\'s favorite band is printed on the front","0","1","1","0","0",".73","3","no"
"Wife Beater","97","0","0","0","0","0","0","0","0","0","0","18","0","item_chest","item_shirt_6.gif","Yippie Ka Yay","0","1","1","0","0","2.65","9","no"
"Button Down Leisure Top","98","0","0","0","0","0","0","0","0","0","0","21","0","item_chest","item_shirt_5.gif","Lightly colored for maximum comfort","0","1","1","0","0","2.75","10","no"
"Blue T-Shirt","99","0","0","0","0","0","0","0","0","0","0","4","0","item_chest","item_shirt_2.gif","Plain old blue t-shirt","0","1","1","0","0",".52","2","no"
"Long Sleeved Green Shirt","100","0","0","0","0","0","0","0","0","0","0","9","0","item_chest","item_shirt_3.gif","100% Cotton","0","1","1","0","0",".86","4","no"
"Turtle Neck","101","0","0","0","0","0","0","0","0","0","3","11","0","item_chest","item_shirt_8.gif","Warms the neck","0","1","1","0","0",".98","5","no"
"Red Shirt","102","0","0","0","0","0","0","0","0","0","0","14","0","item_chest","item_shirt_9.gif","Red Shirt","0","1","1","0","0","1.58","7","no"
"Loafers","103","0","0","0","0","0","0","0","0","0","0","17","0","item_feet","item_boots_7.gif","Loafers","0","1","1","0","0","1.12","11","no"
"Sweater","104","0","0","0","0","0","0","0","0","0","0","16","0","item_chest","item_shirt_10.gif","Sweater","0","1","1","0","0","1.86","8","no"
"Flesh Colored Swimsuit","105","0","0","0","0","0","0","0","0","0","0","12","0","item_legs","item_shorts_1.gif","You\'ll fool them","0","1","1","0","0",".20","3","no"
"Army Boots","106","0","0","0","0","0","0","4","0","0","0","20","0","item_feet","item_boots_2.gif","An army boot of one","0","1","1","0","0","1.42","12","no"
"Die Easy Shirt","107","0","0","0","0","0","0","0","0","0","0","24","0","item_chest","item_shirt_6.gif","Yippie Ka Yay","0","1","1","0","0","2.95","11","no"
"Robo Arms","108","0","0","0","0","0","0","0","0","0","0","18","0","item_hands","item_robotarm.gif","Roll out","0","1","1","0","0","1.54","10","no"
"Bird Eye","109","0","0","0","0","0","0","0","0","0","0","0","0",,"item_eyeb.gif","It's the eye of a bird.","10","1","1","0","0",".15","1","no"
"Giblets","110","0","0","0","0","0","0","0","0","0","0","0","0",,"item_ratguts.gif","Some bird giblets","10","1","1","0","0",".12","1","no"
"Talons","111","0","0","0","0","0","0","0","0","0","0","0","0",,"item_brassknuckles.gif","Bird talons","0","1","1","0","0",".02","1","no"
"Glazed Donut","112","0","0","0","0","0","0","0","0","0","0","0","0",,"item_donut.gif","This is different than a glayzed dough nut","37","1","1","1","0",".45","10","no"
"Glayzed Dough Nut","113","0","0","0","0","0","0","0","0","0","0","0","0",,"item_donut.gif","Looks incredibly like a glazed donut","38","1","1","1","0",".85","12","no"
"Egg Noodles","114","0","0","0","0","0","0","0","0","0","0","0","0",,"item_pasta.gif","Some delicious chinese egg noodles","42","1","1","1","0","0","16","no"
"Bifocals","115","0","0","0","0","0","0","0","6","0","0","4","0","item_head","item_glasses.gif","Makes things easier to see... And hit!","0","1","1","0","0",".35","5","no"
"Red & Green Cape","116","0","0","0","0","0","0","0","0","0","0","3","0","item_back","item_redgreencape.gif","Cool looking red and green cape","0","1","1","0","0",".25","2","no"
"Cape of the Flame","117","0","0","0","0","0","0","0","0","0","0","6","0","item_back","item_yellowpurplecape.gif","It bears an insignia of the Flame","0","1","1","0","0",".36","3","no"
"Plain ol' Backpack","118","0","0","0","0","0","0","0","0","0","0","8","0","item_back","item_backpack.gif","New and improved defensive properties","0","1","1","0","0",".47","4","no"
"Sunfire cape","121","0","0","0","0","0","0","0","0","0","0","18","0","item_back","item_orangecape.gif","This is hot!","0","1","1","0","0",".91","7","no"
"Crusader's Cape","119","0","0","0","0","0","0","5","0","0","0","10","0","item_back","item_redcape.gif","It\'s super!","0","1","1","0","0",".58","5","no"
"The Dark Avenger","120","0","0","0","0","0","0","0","6","0","0","14","0","item_back","item_blackcape.gif","Sinister yet heroic","0","1","1","0","0",".79","6","no"
"Helihat","122","0","0","0","0","0","0","0","0","0","0","14","0","item_head","item_helihat.gif","Helps with stabilization","0","1","1","0","0",".87","9","no"
"Viking Helmet","123","0","0","0","0","0","0","0","0","0","0","8","0","item_head","item_vikinghat.gif","It looks like it can double as a bed pan","0","1","1","0","0",".87","6","no"
"Deadly Key","124","41","46","0","0","0","0","4","0","0","0","0","0","item_weapon1","item_key.gif","Put it in between your fingers. It\'s deadly. It can also open your apartment door.","0","1","1","0","0","1.92","12","no"
